"aIdent","aTitle","aOrder","aPageBegining","aPageEnd","aDateFirst","aDateLast"
"1","À quoi servent les théories","1","7","15","1955","1963"
"2","Une voie pour le roman futur","2","17","27","1956",NULL
"3","Sur quelques notions périmées","3","29","53","1957",NULL
"4","Nature, humanisme, tragédie","4","55","84","1958",NULL
"5","Éléments d'une anthologie moderne","5","85","141",NULL,NULL
"6","Énigmes et transparence chez Raymond Roussel","6","87","94","1963",NULL
"7","La conscience malade de Zeno","7","96","101","1954",NULL
"8","Joë Bousquet le rêveur","8","102","117","1953",NULL
"9","Samuel Beckett, ou la présence sur la scène","9","119","135","1953","1957"
"10","Un roman qui s'invente lui-même","10","136","142","1954",NULL
"11","Nouveau roman, homme nouveau","11","143","153","1961",NULL
"12","Temps et descriptions dans le récit d'aujourd'hui","12","155","169","1963",NULL
"13","Du réalisme à la réalité","13","171","183","1955","1963"
"fpIdent","fpTitle","fpDate","fpSrcTitle","fpSrcNature","fpSrcType","fpSrcNum","fpPageBegining","fpPageEnd","aIdent"
"1","Samuel Beckett, Auteur dramatique","1953/02","Critique","revue","specialisée","69","108","114","9"
"2","Joë Bousquet le rêveur","1953/10","Critique","revue","specialisée","77","819","829","8"
"3","Un roman qui s'invente lui-même","1954/01","Critique","revue","specialisée","80","82","88","10"
"4","La conscience malade de Zeno","1954/07","Nouvelle Revue Française","revue","specialisée","19","138","141","7"
"5","Une voie pour le roman future","1956/07","Nouvelle Revue Française","revue","specialisée","43","77","84","2"
"6","Écrire pour son temps","1957/10/10","France Observateur","magazine","généraliste","387","17","17","3"
"7","Il n'y a pas ""d'avant-garde""","1957/10/17","France Observateur","magazine","généraliste","388","19","19","3"
"8","La mort du personnage","1957/10/24","France Observateur","magazine","généraliste","389","20","20","3"
"9","Un joli talent de conteur","1957/10/31","France Observateur","magazine","généraliste","390","19","19","3"
"10","La forme et le contenu","1957/11/14","France Observateur","magazine","généraliste","392","19","19","3"
"11","Nature, Humanisme, Tragédie","1958/10","Nouvelle Revue Française","revue","specialisée","70","580","603","4"
"12","Nouveau roman, homme nouveau","1961/09","Revue de Paris","revue","specialisée","68","115","121","11"
"13","Samuel Beckett ou la présence sur la scène","1963/02","Critique","revue","specialisée","69","108","114","9"
"14","Comment mesurer l'inventeur des mesures ?","1963/06/20","L'Express","quotidien","généraliste","627","44","45","12"
"15","La littérature, aujourd'hui - VI","1963 été","Tel Quel","revue","specialisée","14","39","45","1"
"16","Énigmes et transparences chez Raymond Roussel","1963/12","Critique","revue","specialisée","199","1027","1033","6"
"17","Réalisme et révolution","1955/01/03","L'Express","quotidien","généraliste",NULL,"15","15","2"
"18","Il écrit comme Stendhal","1955/10/25","L'Express","quotidien","généraliste",NULL,"8","8","1"
"19","Littérature engagée, littérature réactionnaire","1955/12/20","L'Express","quotidien","généraliste",NULL,"11","11","3"
"20","Le réalisme socialiste est bourgeois","1956/02/21","L'Express","quotidien","généraliste",NULL,"11","11","3"
"21","Monsieur personne répond... Pour un « nouveau roman »","1963/12/05-11","Le Figaro Littéraire","quotidien","généraliste",NULL,"1","26","13"
"22","Pour un réalisme de la présence","1956/01/17","L'Express","quotidien","généraliste",NULL,"11","11","2"
"aIdent","ttIdent","mAxiologicStatus","mReferenceStatus"
"1","1","éloge","1"
"7","2","éloge","0"
"7","3","indifférent","1"
"7","4","indifférent","1"
"2","5","indifférent","1"
"3","6","blâme","0"
"3","7","blâme","1"
"11","7","blâme","1"
"12","7","blâme","1"
"13","7","blâme","1"
"3","8","blâme","1"
"11","8","éloge","1"
"3","9","éloge","1"
"11","9","éloge","1"
"12","9","éloge","1"
"3","10","éloge","1"
"11","10","éloge","1"
"3","11","éloge","1"
"11","11","éloge","1"
"3","12","blâme","3"
"4","12","indifférent","2"
"3","13","éloge","1"
"3","14","blâme","1"
"4","15","éloge","0"
"4","16","blâme","0"
"4","17","blâme","0"
"4","18","blâme","4"
"4","19","blâme","4"
"4","20","indifférent","1"
"4","21","indifférent","1"
"6","22","éloge","0"
"8","22","éloge","1"
"7","23","indifférent","1"
"11","23","éloge","1"
"8","24","éloge","0"
"8","25","indifférent","1"
"8","26","indifférent","1"
"11","26","éloge","1"
"12","26","éloge","1"
"8","27","éloge","0"
"9","28","éloge","0"
"10","29","éloge","0"
"11","30","éloge","1"
"11","31","éloge","1"
"11","32","éloge","1"
"13","32","éloge","1"
"13","33","ambiguë","1"
"13","34","ambiguë","1"
"13","35","blâme","1"
"3","36","blâme","4"
"3","37","éloge","1"
"4","37","blâme","0"
"3","38","éloge","1"
"4","38","blâme","0"
"3","39","éloge","1"
"3","40","blâme","1"
"3","41","ambiguë","3"
"11","41","blâme","0"
"3","42","éloge","0"
"4","42","éloge","0"
"4","43","blâme","4"
"4","44","blâme","0"
"4","45","blâme","0"
"4","46","indifférent","0"
"6","47","éloge","1"
"6","48","éloge","0"
"7","49","indifférent","1"
"7","50","indifférent","1"
"7","51","indifférent","1"
"9","51","éloge","1"
"8","52","éloge","0"
"9","53","éloge","1"
"9","54","éloge","1"
"9","55","éloge","1"
"9","56","éloge","0"
"9","57","éloge","4"
"10","58","éloge","0"
"10","59","éloge","0"
"10","60","indifférent","1"
"11","61","éloge","1"
"11","62","blâme","1"
"12","63","éloge","1"
"12","64","éloge","1"
"12","65","éloge","1"
"13","66","éloge","1"
"13","67","éloge","1"
"13","68","éloge","1"
"13","69","éloge","1"
"13","70","éloge","1"
"1","71","ambiguë","3"
"1","72","ambiguë","3"
"2","73","blâme","3"
"9","74","éloge","0"
"12","75","éloge","3"
"13","76","blâme","0"
"13","78","blâme","3"
"4","77","ambiguë","4"
"1","79","blâme","2"
"11","79","blâme","2"
"1","80","blâme","2"
"11","80","blâme","2"
"12","80","blâme","2"
"1","81","blâme","2"
"11","81","blâme","2"
"1","82","blâme","2"
"11","82","blâme","2"
"1","83","blâme","2"
"4","83","blâme","2"
"3","84","blâme","2"
"2","85","blâme","3"
"3","86","blâme","2"
"1","87","blâme","2"
"2","88","blâme","2"
"3","89","blâme","2"
"4","90","éloge","2"
"6","91","blâme","2"
"11","92","blâme","0"
"3","93","blâme","3"
"6","94","éloge","2"
"1","95","blâme","3"
"3","96","blâme","2"
"3","97","ambiguë","3"
"3","98","blâme","1"
"4","99","ambiguë","1"
"13","99","blâme","1"
"4","100","blâme","1"
"4","101","blâme","1"
"4","102","blâme","1"
"4","103","blâme","0"
"3","104","éloge","2"
"4","105","blâme","4"
"13","105","ambiguë","1"
"4","106","éloge","4"
"11","107","éloge","3"
"8","108","éloge","0"
"13","108","ambiguë","1"
"12","109","blâme","2"
"13","109","blâme","2"
"12","110","blâme","2"
"13","110","blâme","2"
"13","111","ambiguë","1"
"13","112","ambiguë","1"
"13","113","ambiguë","2"
"13","114","blâme","2"
"13","115","blâme","2"
"13","116","blâme","0"
"13","117","blâme","2"
"13","118","blâme","2"
"13","119","blâme","2"
"13","120","blâme","3"
"13","121","blâme","2"
"13","122","blâme","2"
"6","123","blâme","1"
"12","124","blâme","1"
"ttIdent","ttNature","ttTitle","ttAuthor","ttDateFirst","ttDateLast"
"1","œuvre","Fictions","Borges Jorge Luis","1944","1956"
"2","œuvre","La Conscience de Zeno","Svevo Italo","1923","1954"
"3","œuvre","Michael Kohlhaas","Kleist (von) Heinrich","1810","1830"
"4","œuvre","Le Procès","Kafka Franz","1925","1933"
"5","auteur",NULL,"Schönberg Arnold","1874","1951"
"6","auteur",NULL,"Clouard Henri","1889","1974"
"7","auteur",NULL,"Balzac Honoré","1799","1850"
"8","auteur",NULL,"Dostoïevski Fedor","1821","1881"
"9","auteur",NULL,"Faulkner William","1897","1962"
"10","auteur",NULL,"Kafka Franz","1883","1924"
"11","auteur",NULL,"Beckett Samuel","1906","1989"
"12","auteur",NULL,"Sartre Jean-Paul","1905","1980"
"13","auteur",NULL,"Ehrenburg Ilya","1891","1967"
"14","auteur",NULL,"Jdanov Andreï","1896","1948"
"15","auteur",NULL,"Barthes Roland","1915","1980"
"16","auteur",NULL,"Mauriac François","1885","1970"
"17","auteur",NULL,"Rousseaux André","1896","1973"
"18","auteur",NULL,"Musset (de) Alphonse","1810","1857"
"19","auteur",NULL,"Hugo Victor","1802","1885"
"20","auteur",NULL,"Pascal Blaise","1623","1662"
"21","auteur",NULL,"Paulhan Jean","1884","1968"
"22","auteur",NULL,"Roussel Raymond","1877","1933"
"23","auteur",NULL,"Joyce James","1882","1941"
"24","auteur",NULL,"Bousquet Joë","1897","1950"
"25","auteur",NULL,"Sade (de) Donatien Alphonse François","1740","1814"
"26","auteur",NULL,"Proust Marcel","1871","1922"
"27","auteur",NULL,"Breton André","1893","1966"
"28","auteur",NULL,"Heidegger Martin","1889","1976"
"29","auteur",NULL,"Pinget Robert","1919","1997"
"30","auteur",NULL,"Robbe-Grillet Alain","1922","2008"
"31","auteur",NULL,"Simon Claude","1913","2005"
"32","auteur",NULL,"Flaubert Gustave","1821","1880"
"33","auteur",NULL,"Claudel Paul","1868","1955"
"34","auteur",NULL,"Camus Albert","1913","1960"
"35","auteur",NULL,"Zola Émile","1840","1902"
"36","concept","caratères","[Hugo Victor]","1838",NULL
"37","œuvre","La Nausée","Sartre Jean-Paul","1938",NULL
"38","œuvre","L'Étranger","Camus Albert","1942",NULL
